Dấu thời gian,Bạn là ai,Họ Tên,Tuổi,Địa Điểm Sinh Sống,Kỹ năng bạn có,Thời gian rảnh để tham gia tình nguyện,Lĩnh vực mà bạn quan tâm,Tên hoạt động tình nguyện  ,Mô tả công việc,Kỹ năng yêu cầu,Địa điểm,Thời gian thực hiện,Lĩnh vực hoạt động,"Sự kiện mà bạn từng tham gia? (Chưa tham gia vui lòng nhập ""Chưa tham gia"")"
25/09/2025 12:13:51,Tình Nguyện Viên,,20,Hà Nội,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Thiết Kế, Ngoại Ngữ / Dịch Thuật, Tổ Chức Sự Kiện / Quản Lý, Y Tế / Chăm Sóc","Buổi Sáng, Buổi Chiều, Buổi Tối, Cuối Tuần, Online (Linh Hoạt)","Giáo Dục, Công Nghệ, Phiên Dịch / Ngôn Ngữ, Cộng Đồng / Xã Hội, Sức Khỏe / Y Tế, Môi Trường",,,,,,,
25/09/2025 12:18:06,Tình Nguyện Viên,Hứa Quang Hán,18,Hà Nội,"CNTT / Lập Trình, Ngoại Ngữ / Dịch Thuật",Buổi Sáng,"Công Nghệ, Phiên Dịch / Ngôn Ngữ",,,,,,,
25/09/2025 12:24:01,Tình Nguyện Viên,Châu Tinh Trì,30,Hà Nội,"Giáo Dục / Giảng Dạy, Thiết Kế","Cuối Tuần, Online (Linh Hoạt)","Giáo Dục, Công Nghệ, Cộng Đồng / Xã Hội",,,,,,,
25/09/2025 12:35:03,Tình Nguyện Viên,Duong Hoang Nam,18,Ha Noi,"Giao Tiếp, CNTT / Lập Trình, Thiết Kế, Ngoại Ngữ / Dịch Thuật",Online (Linh Hoạt),"Công Nghệ, Phiên Dịch / Ngôn Ngữ, Cộng Đồng / Xã Hội",,,,,,,
25/09/2025 13:05:38,Tổ Chức,,,,,,,Đọn dẹp cây xanh,,Sức Khỏe,Hà Nội,Buổi Sáng,Môi Trường,
25/09/2025 13:06:41,Tổ Chức,,,,,,,Dịch tài liệu tiếng anh,,Ngoại Ngữ / Dịch Thuật,Bắc Ninh,Online (Linh Hoạt),"Giáo Dục, Phiên Dịch / Ngôn Ngữ",
25/09/2025 13:08:14,Tổ Chức,,,,,,,Hỗ trợ người dân cài đặt ứng dụng VNID,,CNTT / Lập Trình,Hà Nội,"Buổi Sáng, Buổi Chiều","Công Nghệ, Cộng Đồng / Xã Hội",
26/09/2025 12:21:17,Tình Nguyện Viên,,19,Hà Nội,CNTT / Lập Trình,Cuối Tuần,Công Nghệ,,,,,,,
26/09/2025 12:22:00,Tình Nguyện Viên,,24,Bắc Ninh,Thiết Kế,Online (Linh Hoạt),"Giáo Dục, Môi Trường",,,,,,,
26/09/2025 12:24:13,Tình Nguyện Viên,,22,Thái Nguyên,Ngoại Ngữ / Dịch Thuật,"Buổi Tối, Cuối Tuần","Giáo Dục, Phiên Dịch / Ngôn Ngữ",,,,,,,
26/09/2025 16:56:03,Tình Nguyện Viên,Ngọ Ngọc Mai,22,Bắc Ninh,Ngoại Ngữ / Dịch Thuật,Online (Linh Hoạt),Phiên Dịch / Ngôn Ngữ,,,,,,,
27/09/2025 8:07:24,Tình Nguyện Viên,,22,Hải Phòng,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
27/09/2025 8:13:07,Tình Nguyện Viên,,19,hà nội,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Thiết Kế, Ngoại Ngữ / Dịch Thuật, Tổ Chức Sự Kiện / Quản Lý, Y Tế / Chăm Sóc","Buổi Tối, Cuối Tuần, Online (Linh Hoạt)","Giáo Dục, Công Nghệ, Cộng Đồng / Xã Hội, Môi Trường",,,,,,,
27/09/2025 8:13:56,Tình Nguyện Viên,,30,kiên giang,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Thiết Kế, Tổ Chức Sự Kiện / Quản Lý, Y Tế / Chăm Sóc","Buổi Sáng, Buổi Chiều","Giáo Dục, Công Nghệ, Phiên Dịch / Ngôn Ngữ, Cộng Đồng / Xã Hội, Môi Trường",,,,,,,
27/09/2025 8:14:05,Tình Nguyện Viên,,24,Hưng Yên,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
27/09/2025 8:14:40,Tình Nguyện Viên,,24,Đà Nẵng,"CNTT / Lập Trình, Thiết Kế",Cuối Tuần,Công Nghệ,,,,,,,
27/09/2025 8:15:07,Tình Nguyện Viên,,20,hcm,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Thiết Kế, Ngoại Ngữ / Dịch Thuật, Y Tế / Chăm Sóc","Buổi Sáng, Buổi Chiều","Giáo Dục, Công Nghệ, Phiên Dịch / Ngôn Ngữ, Sức Khỏe / Y Tế, Môi Trường",,,,,,,
27/09/2025 8:15:14,Tình Nguyện Viên,,20,Hải Phòng,Giáo Dục / Giảng Dạy,Buổi Tối,Giáo Dục,,,,,,,
27/09/2025 8:16:15,Tình Nguyện Viên,Đỗ Nam Trung,20,Hà Nội,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Tổ Chức Sự Kiện / Quản Lý","Buổi Tối, Cuối Tuần",Công Nghệ,,,,,,,
27/09/2025 8:17:43,Tổ Chức,,,,,,,Mùa Hè Xanh Ân Nghĩa,,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Tổ Chức Sự Kiện / Quản Lý",Ân Nghĩa - Hoà Bình,"Buổi Sáng, Buổi Chiều, Buổi Tối","Giáo Dục, Cộng Đồng / Xã Hội",
27/09/2025 8:18:33,Tình Nguyện Viên,,22,Hà Nội,"Giao Tiếp, Thiết Kế, Tổ Chức Sự Kiện / Quản Lý","Buổi Sáng, Buổi Chiều, Buổi Tối","Giáo Dục, Sức Khỏe / Y Tế",,,,,,,
27/09/2025 8:20:14,Tình Nguyện Viên,,22,Hà Nội,"Giáo Dục / Giảng Dạy, Giao Tiếp, Thiết Kế","Buổi Sáng, Buổi Chiều",Công Nghệ,,,,,,,
27/10/2025 10:05:20,Tình Nguyện Viên,,20,Hà Nội,"Giáo Dục / Giảng Dạy, Giao Tiếp, CNTT / Lập Trình, Thiết Kế",Buổi Chiều,"Giáo Dục, Công Nghệ",,,,,,,Chưa tham gia
27/10/2025 10:06:08,Tình Nguyện Viên,,18,Bắc Ninh,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,Chưa tham gia
27/10/2025 10:26:36,Tình Nguyện Viên,,19,Hà Nội,"Truyền thông, viết nội dung",Buổi Sáng,Môi Trường,,,,,,,
27/10/2025 10:27:30,Tình Nguyện Viên,,24,Cần Thơ,"Kế toán, Quản trị kinh doan",Cuối Tuần,Kinh doanh,,,,,,,
27/10/2025 10:28:05,Tình Nguyện Viên,,28,Hồ Chí Minh,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
27/10/2025 10:28:40,Tình Nguyện Viên,,33,Huế,Tổ Chức Sự Kiện / Quản Lý,Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 10:29:33,Tình Nguyện Viên,,21,Đà Nẵng,Thiết Kế,Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 10:30:59,Tình Nguyện Viên,,19,Cần Thơ,"Giao Tiếp, Hướng dẫn du lịch",Buổi Sáng,Du lịch,,,,,,,
27/10/2025 10:31:51,Tình Nguyện Viên,,24,Hà Nội,Truyền thông,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 10:32:39,Tình Nguyện Viên,,28,Hải Phòng,Giáo Dục / Giảng Dạy,Buổi Tối,Giáo Dục,,,,,,,
27/10/2025 10:33:30,Tình Nguyện Viên,,32,Hồ Chí Minh,"CNTT / Lập Trình, Thiết Kế",Cuối Tuần,Công Nghệ,,,,,,,
27/10/2025 10:34:30,Tình Nguyện Viên,,21,Hà Nội,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 15:53:12,Tình Nguyện Viên,,23,Hồ Chí Minh,"Giáo Dục / Giảng Dạy, Giao Tiếp",Cuối Tuần,Giáo Dục,,,,,,,
27/10/2025 15:53:56,Tình Nguyện Viên,,29,Hà Nội,Phân tích dữ liệu,Buổi Sáng,Dữ liệu,,,,,,,
27/10/2025 15:54:51,Tình Nguyện Viên,,26,Hải Phòng,Thiết Kế,Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 15:55:36,Tình Nguyện Viên,,31,Cần Thơ,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 15:56:31,Tình Nguyện Viên,,20,Đà Lạt,"Nhiếp ảnh, chỉnh sửa ảnh","Cuối Tuần, Online (Linh Hoạt)",Nghệ thuật,,,,,,,
27/10/2025 15:57:13,Tình Nguyện Viên,,23,Hà Nội,"Marketing, truyền thông",Buổi Sáng,Môi Trường,,,,,,,
27/10/2025 15:57:48,Tình Nguyện Viên,,29,Hải Phòng,Y Tế / Chăm Sóc,Cuối Tuần,Sức Khỏe / Y Tế,,,,,,,
27/10/2025 18:37:59,Tình Nguyện Viên,,20,Nha Trang,Ngoại Ngữ / Dịch Thuật,Buổi Tối,Văn hóa,,,,,,,
27/10/2025 18:40:03,Tình Nguyện Viên,,22,Huế,"Marketing, quảng cáo",Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 18:40:34,Tình Nguyện Viên,,27,Hà Nội,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
27/10/2025 18:42:56,Tình Nguyện Viên,,35,Hồ Chí Minh,Y Tế / Chăm Sóc,Cuối Tuần,Sức Khỏe / Y Tế,,,,,,,
27/10/2025 18:44:02,Tình Nguyện Viên,,24,Đà Nẵng,Viết báo cáo,Online (Linh Hoạt),Phiên Dịch / Ngôn Ngữ,,,,,,,
27/10/2025 18:44:44,Tình Nguyện Viên,,30,Hải Phòng,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 18:53:11,Tình Nguyện Viên,,18,Đà Nẵng,"Giao Tiếp, Hướng dẫn viên",Cuối Tuần,Giáo Dục,,,,,,,
27/10/2025 18:53:45,Tình Nguyện Viên,,22,Hà Nội,"Giáo Dục / Giảng Dạy, Hỗ trợ học sinh",Buổi Sáng,Công Nghệ,,,,,,,
27/10/2025 18:54:21,Tình Nguyện Viên,,27,Thái Nguyên,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
27/10/2025 18:54:52,Tình Nguyện Viên,,25,Hà Nội,Tổ Chức Sự Kiện / Quản Lý,Buổi Tối,Truyền thông,,,,,,,
27/10/2025 18:55:36,Tình Nguyện Viên,,31,Hồ Chí Minh,"Thiết Kế, Sáng tạo nội dung",Cuối Tuần,Nghệ Thuật,,,,,,,
27/10/2025 18:56:14,Tình Nguyện Viên,,18,Đà Lạt,Ngoại Ngữ / Dịch Thuật,Buổi Sáng,Du lịch,,,,,,,
27/10/2025 18:57:05,Tình Nguyện Viên,,21,Hà Nội,"Viết nội dung, Truyền thông",Online (Linh Hoạt),Truyền thông,,,,,,,
27/10/2025 18:57:50,Tình Nguyện Viên,,25,Thái Nguyên,CNTT / Lập Trình,Buổi Sáng,Công Nghệ,,,,,,,
27/10/2025 18:59:30,Tình Nguyện Viên,,29,Hồ Chí Minh,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 19:02:04,Tình Nguyện Viên,,32,Thái Nguyên,Giáo Dục / Giảng Dạy,Buổi Tối,Giáo Dục,,,,,,,
27/10/2025 19:02:36,Tình Nguyện Viên,,24,Hồ Chí Minh,"Chụp ảnh, quay video",Buổi Sáng,Giáo Dục,,,,,,,
27/10/2025 19:03:07,Tình Nguyện Viên,,30,Hà Nội,"Giáo Dục / Giảng Dạy, Tổ Chức Sự Kiện / Quản Lý",Buổi Tối,Nghệ thuật,,,,,,,
27/10/2025 19:03:54,Tình Nguyện Viên,,19,Vũng Tàu,"Giao Tiếp, Tư vấn tâm lý",Online (Linh Hoạt),Truyền thông,,,,,,,
